Tag,Address,Type,Direction,Description_TRUE
Conveyor_StartButton,%I0.0,Bool,Input,Tombol START ditekan (NO)
Conveyor_StopOK,%I0.1,Bool,Input,Rangkaian STOP sehat / tombol dilepas (NC)
Conveyor_EStopOK,%I0.2,Bool,Input,Relay keselamatan eksternal sehat
Conveyor_OverloadOK,%I0.3,Bool,Input,Overload motor sehat (NC)
Conveyor_JamSensor,%I0.4,Bool,Input,Sensor ujung conveyor terhalang produk
Conveyor_ResetButton,%I0.5,Bool,Input,Tombol RESET ditekan (NO)
Conveyor_MotorCmd,%Q0.0,Bool,Output,Perintah kontaktor motor conveyor
Conveyor_RunLamp,%Q0.1,Bool,Output,Lampu hijau conveyor berjalan
Conveyor_FaultLamp,%Q0.2,Bool,Output,Lampu merah gangguan terkunci

